+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
|        22       | 12 |        27       |  False  |  2  |        1         | 7.152557373046875e-06  |    0.0    |
|        22       | 25 |        54       |  False  |  5  |       558        | 7.700920104980469e-05  |    0.0    |
|        22       | 50 |        84       |  False  |  11 |       642        | 9.083747863769531e-05  |    0.0    |
|        22       | 75 |       125       |  False  |  16 |       825        | 0.00011491775512695312 |    0.0    |
|        23       | 12 |        29       |  False  |  2  |        1         |  5.7220458984375e-06   |    0.0    |
|        23       | 25 |        56       |  False  |  5  |       600        | 8.296966552734375e-05  |    0.0    |
|        23       | 50 |       101       |  False  |  11 |       738        | 0.00010395050048828125 |    0.0    |
|        23       | 75 |       130       |  False  |  17 |       833        | 0.00012183189392089844 |    0.0    |
|        24       | 12 |        31       |  False  |  2  |        1         | 6.198883056640625e-06  |    0.0    |
|        24       | 25 |        64       |  False  |  6  |       672        | 9.012222290039062e-05  |    0.0    |
|        24       | 50 |       107       |  False  |  12 |       786        | 0.00011515617370605469 |    0.0    |
|        24       | 75 |       136       |  False  |  18 |       919        | 0.00013327598571777344 |    0.0    |
|        25       | 12 |        35       |   True  |  3  |        63        | 1.5020370483398438e-05 |    0.0    |
|        25       | 25 |        65       |  False  |  6  |       725        | 9.894371032714844e-05  |    0.0    |
|        25       | 50 |       116       |  False  |  12 |       856        | 0.00013065338134765625 |    0.0    |
|        25       | 75 |       159       |  False  |  18 |       1060       | 0.00015211105346679688 |    0.0    |
|        26       | 12 |        39       |   True  |  3  |        33        | 1.0967254638671875e-05 |    0.0    |
|        26       | 25 |        72       |  False  |  6  |       768        | 0.00010514259338378906 |    0.0    |
|        26       | 50 |       127       |  False  |  13 |       958        | 0.0001380443572998047  |    0.0    |
|        26       | 75 |       171       |  False  |  19 |       1167       | 0.0001690387725830078  |    0.0    |
|        27       | 12 |        41       |   True  |  3  |        5         | 7.152557373046875e-06  |    0.0    |
|        27       | 25 |        79       |  False  |  6  |       842        | 0.00011801719665527344 |    0.0    |
|        27       | 50 |       134       |  False  |  13 |       1007       | 0.0001468658447265625  |    0.0    |
|        27       | 75 |       185       |  False  |  20 |       1186       | 0.00017786026000976562 |    0.0    |
|        28       | 12 |        44       |   True  |  3  |        84        | 1.5974044799804688e-05 |    0.0    |
|        28       | 25 |        83       |  False  |  7  |       895        | 0.00012421607971191406 |    0.0    |
|        28       | 50 |       149       |  False  |  14 |       1140       | 0.00016689300537109375 |    0.0    |
|        28       | 75 |       205       |  False  |  21 |       1427       | 0.00020694732666015625 |    0.0    |
|        29       | 12 |        46       |   True  |  3  |        7         | 7.867813110351562e-06  |    0.0    |
|        29       | 25 |        87       |  False  |  7  |       975        | 0.00013494491577148438 |    0.0    |
|        29       | 50 |       168       |  False  |  14 |       1253       | 0.00018596649169921875 |    0.0    |
|        29       | 75 |       217       |  False  |  21 |       1479       | 0.00022292137145996094 |    0.0    |
|        30       | 12 |        51       |   True  |  3  |        56        | 1.2159347534179688e-05 |    0.0    |
|        30       | 25 |        99       |  False  |  7  |       1062       | 0.00014781951904296875 |    0.0    |
