+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
|        80       | 50 |       1242      |  False  |  40 |      10039       |  0.002104043960571289  |    0.0    |
|        80       | 75 |       1661      |  False  |  60 |      11905       | 0.0027039051055908203  |    0.0    |
|        81       | 12 |       367       |  False  |  9  |       7291       | 0.0010418891906738281  |    0.0    |
|        81       | 25 |       729       |  False  |  20 |       8182       |  0.001458883285522461  |    0.0    |
|        81       | 50 |       1266      |  False  |  40 |      10259       |  0.002180814743041992  |    0.0    |
|        81       | 75 |       1715      |  False  |  60 |      12824       |  0.002846956253051758  |    0.0    |
|        82       | 12 |       370       |  False  |  9  |       7397       | 0.0010590553283691406  |    0.0    |
|        82       | 25 |       730       |  False  |  20 |       8372       | 0.0014867782592773438  |    0.0    |
|        82       | 50 |       1316      |  False  |  41 |      10508       |  0.002270936965942383  |    0.0    |
|        82       | 75 |       1763      |  False  |  61 |      13212       | 0.0029540061950683594  |    0.0    |
|        83       | 12 |       394       |  False  |  9  |       7658       | 0.0011131763458251953  |    0.0    |
|        83       | 25 |       763       |  False  |  20 |       8518       | 0.0015459060668945312  |    0.0    |
|        83       | 50 |       1342      |  False  |  41 |      10945       | 0.0023581981658935547  |    0.0    |
|        83       | 75 |       1777      |  False  |  62 |      13534       | 0.0030100345611572266  |    0.0    |
|        84       | 12 |       399       |  False  |  10 |       7821       | 0.0011279582977294922  |    0.0    |
|        84       | 25 |       763       |  False  |  21 |       8764       | 0.0015628337860107422  |    0.0    |
|        84       | 50 |       1370      |  False  |  42 |      11204       | 0.0024111270904541016  |    0.0    |
|        84       | 75 |       1844      |  False  |  63 |      13276       |  0.003116130828857422  |    0.0    |
|        85       | 12 |       406       |  False  |  10 |       7983       | 0.0011625289916992188  |    0.0    |
|        85       | 25 |       802       |  False  |  21 |       8908       | 0.0016450881958007812  |    0.0    |
|        85       | 50 |       1396      |  False  |  42 |      11194       | 0.0024487972259521484  |    0.0    |
|        85       | 75 |       1886      |  False  |  63 |      14089       | 0.0032460689544677734  |    0.0    |
|        86       | 12 |       421       |  False  |  10 |       8232       |  0.001194000244140625  |    0.0    |
|        86       | 25 |       811       |  False  |  21 |       9082       |  0.001669168472290039  |    0.0    |
|        86       | 50 |       1446      |  False  |  43 |      12571       |  0.002599954605102539  |    0.0    |
|        86       | 75 |       1924      |  False  |  64 |      14147       |  0.003325939178466797  |    0.0    |
|        87       | 12 |       427       |  False  |  10 |       8329       | 0.0012249946594238281  |    0.0    |
|        87       | 25 |       834       |  False  |  21 |       9376       | 0.0017168521881103516  |    0.0    |
|        87       | 50 |       1486      |  False  |  43 |      12075       | 0.0026488304138183594  |    0.0    |
|        87       | 75 |       1977      |  False  |  65 |      14474       | 0.0034308433532714844  |    0.0    |
|        88       | 12 |       440       |  False  |  10 |       8588       | 0.0012638568878173828  |    0.0    |
|        88       | 25 |       843       |  False  |  22 |       9618       | 0.0017709732055664062  |    0.0    |
|        88       | 50 |       1540      |  False  |  44 |      12285       |  0.002760171890258789  |    0.0    |
|        88       | 75 |       2024      |  False  |  66 |      16137       | 0.0036497116088867188  |    0.0    |
|        89       | 12 |       444       |  False  |  10 |       8778       | 0.0012869834899902344  |    0.0    |
|        89       | 25 |       862       |  False  |  22 |       9731       | 0.0018072128295898438  |    0.0    |
|        89       | 50 |       1528      |  False  |  44 |      12020       | 0.0027399063110351562  |    0.0    |
|        89       | 75 |       2068      |  False  |  66 |      16210       | 0.0038089752197265625  |    0.0    |
|        90       | 12 |       453       |  False  |  10 |       8922       | 0.0013110637664794922  |    0.0    |
|        90       | 25 |       887       |  False  |  22 |      10053       |  0.001873016357421875  |    0.0    |
|        90       | 50 |       1584      |  False  |  45 |      13306       |  0.002885103225708008  |    0.0    |
|        90       | 75 |       2113      |  False  |  67 |      15999       | 0.0037958621978759766  |    0.0    |
|        91       | 12 |       469       |  False  |  10 |       9191       | 0.0013689994812011719  |    0.0    |
|        91       | 25 |       906       |  False  |  22 |      10350       | 0.0019290447235107422  |    0.0    |
|        91       | 50 |       1612      |  False  |  45 |      12709       |  0.002953052520751953  |    0.0    |
|        91       | 75 |       2195      |  False  |  68 |      16543       |  0.003941059112548828  |    0.0    |
|        92       | 12 |       469       |  False  |  11 |       9390       | 0.0013959407806396484  |    0.0    |
|        92       | 25 |       943       |  False  |  23 |      10625       |  0.002004861831665039  |    0.0    |
|        92       | 50 |       1675      |  False  |  46 |      13575       |  0.003107786178588867  |    0.0    |
|        92       | 75 |       2189      |  False  |  69 |      16164       |  0.004014730453491211  |    0.0    |
|        93       | 12 |       494       |  False  |  11 |       9555       |  0.001444101333618164  |    0.0    |
|        93       | 25 |       961       |  False  |  23 |      10980       | 0.0020630359649658203  |    0.0    |
|        93       | 50 |       1686      |  False  |  46 |      13678       | 0.0031359195709228516  |    0.0    |
|        93       | 75 |       2282      |  False  |  69 |      16558       |  0.004141807556152344  |    0.0    |
|        94       | 12 |       514       |  False  |  11 |       9872       | 0.0014922618865966797  |    0.0    |
|        94       | 25 |       959       |  False  |  23 |      11054       | 0.0020830631256103516  |    0.0    |
|        94       | 50 |       1717      |  False  |  47 |      13640       |  0.003210306167602539  |    0.0    |
|        94       | 75 |       2282      |  False  |  70 |      16701       | 0.0042171478271484375  |    0.0    |
|        95       | 12 |       506       |  False  |  11 |       9993       | 0.0015168190002441406  |    0.0    |
|        95       | 25 |       1003      |  False  |  23 |      11213       | 0.0021622180938720703  |    0.0    |
|        95       | 50 |       1759      |  False  |  47 |      13819       | 0.0032770633697509766  |    0.0    |
|        95       | 75 |       2368      |  False  |  71 |      17496       | 0.0044269561767578125  |    0.0    |
|        96       | 12 |       524       |  False  |  11 |      10238       | 0.0015637874603271484  |    0.0    |
|        96       | 25 |       1014      |  False  |  24 |      11387       | 0.0022079944610595703  |    0.0    |
|        96       | 50 |       1803      |  False  |  48 |      14368       | 0.0033991336822509766  |    0.0    |
|        96       | 75 |       2441      |  False  |  72 |      18416       |  0.004621028900146484  |    0.0    |
|        97       | 12 |       536       |  False  |  11 |      10408       | 0.0015821456909179688  |    0.0    |
|        97       | 25 |       1035      |  False  |  24 |      11989       |  0.002285003662109375  |    0.0    |
|        97       | 50 |       1834      |  False  |  48 |      14681       | 0.0034973621368408203  |    0.0    |
|        97       | 75 |       2440      |  False  |  72 |      18043       |  0.004642009735107422  |    0.0    |
|        98       | 12 |       541       |  False  |  11 |      10784       | 0.0016467571258544922  |    0.0    |
|        98       | 25 |       1048      |  False  |  24 |      11986       | 0.0023279190063476562  |    0.0    |
|        98       | 50 |       1877      |  False  |  49 |      15352       | 0.0035848617553710938  |    0.0    |
|        98       | 75 |       2530      |  False  |  73 |      18508       |  0.004802227020263672  |    0.0    |
|        99       | 12 |       546       |  False  |  11 |      10892       | 0.0016541481018066406  |    0.0    |
|        99       | 25 |       1060      |  False  |  24 |      12097       |  0.002357959747314453  |    0.0    |
|        99       | 50 |       1929      |  False  |  49 |      15336       | 0.0037059783935546875  |    0.0    |
|        99       | 75 |       2522      |  False  |  74 |      18485       |  0.004827022552490234  |    0.0    |
|       100       | 12 |       558       |  False  |  12 |      11138       | 0.0017032623291015625  |    0.0    |
|       100       | 25 |       1089      |  False  |  25 |      12469       | 0.0024209022521972656  |    0.0    |
|       100       | 50 |       1919      |  False  |  50 |      15359       |  0.003738880157470703  |    0.0    |
|       100       | 75 |       2637      |  False  |  75 |      19769       | 0.0050830841064453125  |    0.0    |
|       101       | 12 |       571       |  False  |  12 |      11271       | 0.0017337799072265625  |    0.0    |
|       101       | 25 |       1104      |  False  |  25 |      12771       | 0.0025022029876708984  |    0.0    |
|       101       | 50 |       1981      |  False  |  50 |      15672       |  0.003880023956298828  |    0.0    |
|       101       | 75 |       2664      |  False  |  75 |      20634       |  0.005201816558837891  |    0.0    |
|       102       | 12 |       580       |  False  |  12 |      11586       |  0.001786947250366211  |    0.0    |
|       102       | 25 |       1129      |  False  |  25 |      12980       | 0.0025610923767089844  |    0.0    |
|       102       | 50 |       2009      |  False  |  51 |      15960       | 0.0039708614349365234  |    0.0    |
|       102       | 75 |       2730      |  False  |  76 |      21185       |  0.005383014678955078  |    0.0    |
|       103       | 12 |       584       |  False  |  12 |      11790       | 0.0018057823181152344  |    0.0    |
|       103       | 25 |       1153      |  False  |  25 |      13263       |  0.002641916275024414  |    0.0    |
|       103       | 50 |       2040      |  False  |  51 |      16665       |  0.004058122634887695  |    0.0    |
|       103       | 75 |       2789      |  False  |  77 |      21049       |  0.005499124526977539  |    0.0    |
|       104       | 12 |       605       |  False  |  12 |      11934       | 0.0018570423126220703  |    0.0    |
|       104       | 25 |       1170      |  False  |  26 |      13413       | 0.0026807785034179688  |    0.0    |
|       104       | 50 |       2114      |  False  |  52 |      17312       |  0.004250764846801758  |    0.0    |
|       104       | 75 |       2822      |  False  |  78 |      21267       | 0.0056040287017822266  |    0.0    |
|       105       | 12 |       618       |  False  |  12 |      12218       | 0.0019071102142333984  |    0.0    |
|       105       | 25 |       1189      |  False  |  26 |      13816       |  0.002744913101196289  |    0.0    |
|       105       | 50 |       2149      |  False  |  52 |      17208       |  0.004335880279541016  |    0.0    |
|       105       | 75 |       2899      |  False  |  78 |      21621       |   0.005767822265625    |    0.0    |
|       106       | 12 |       630       |  False  |  12 |      12615       | 0.0019550323486328125  |    0.0    |
|       106       | 25 |       1222      |  False  |  26 |      14114       | 0.0028238296508789062  |    0.0    |
|       106       | 50 |       2173      |  False  |  53 |      17541       |  0.004415988922119141  |    0.0    |
|       106       | 75 |       2900      |  False  |  79 |      21775       | 0.0058209896087646484  |    0.0    |
|       107       | 12 |       639       |  False  |  12 |      12737       | 0.0019979476928710938  |    0.0    |
|       107       | 25 |       1253      |  False  |  26 |      14163       |  0.002881765365600586  |    0.0    |
|       107       | 50 |       2214      |  False  |  53 |      17736       |  0.004520893096923828  |    0.0    |
|       107       | 75 |       2986      |  False  |  80 |      22584       |  0.006016969680786133  |    0.0    |
|       108       | 12 |       659       |  False  |  12 |      12907       |  0.002048015594482422  |    0.0    |
|       108       | 25 |       1265      |  False  |  27 |      14615       |  0.002964019775390625  |    0.0    |
|       108       | 50 |       2293      |  False  |  54 |      18811       |  0.004724979400634766  |    0.0    |
|       108       | 75 |       3031      |  False  |  81 |      22309       |  0.006145000457763672  |    0.0    |
|       109       | 12 |       657       |  False  |  13 |      13217       | 0.0020818710327148438  |    0.0    |
|       109       | 25 |       1282      |  False  |  27 |      14862       | 0.0030090808868408203  |    0.0    |
|       109       | 50 |       2322      |  False  |  54 |      18660       |  0.004749774932861328  |    0.0    |
|       109       | 75 |       3083      |  False  |  81 |      23435       | 0.0063207149505615234  |    0.0    |
|       110       | 12 |       669       |  False  |  13 |      13467       | 0.0021147727966308594  |    0.0    |
|       110       | 25 |       1323      |  False  |  27 |      15097       |  0.003117799758911133  |    0.0    |
|       110       | 50 |       2346      |  False  |  55 |      18951       |  0.004878997802734375  |    0.0    |
|       110       | 75 |       3151      |  False  |  82 |      23074       | 0.0065119266510009766  |    0.0    |
|       111       | 12 |       679       |  False  |  13 |      13671       | 0.0021550655364990234  |    0.0    |
|       111       | 25 |       1346      |  False  |  27 |      15559       | 0.0031960010528564453  |    0.0    |
|       111       | 50 |       2403      |  False  |  55 |      18944       |  0.005003929138183594  |    0.0    |
|       111       | 75 |       3223      |  False  |  83 |      23948       |  0.006682872772216797  |    0.0    |
|       112       | 12 |       700       |  False  |  13 |      13906       |  0.002231121063232422  |    0.0    |
|       112       | 25 |       1373      |  False  |  28 |      15982       | 0.0032830238342285156  |    0.0    |
|       112       | 50 |       2446      |  False  |  56 |      20029       |  0.00517725944519043   |    0.0    |
|       112       | 75 |       3278      |  False  |  84 |      25008       |  0.006826162338256836  |    0.0    |
|       113       | 12 |       718       |  False  |  13 |      14127       | 0.0022726058959960938  |    0.0    |
|       113       | 25 |       1391      |  False  |  28 |      15857       | 0.0033261775970458984  |    0.0    |
|       113       | 50 |       2478      |  False  |  56 |      19894       |  0.00521087646484375   |    0.0    |
|       113       | 75 |       3346      |  False  |  84 |      26116       |  0.007078886032104492  |    0.0    |
|       114       | 12 |       730       |  False  |  13 |      14377       |  0.002325773239135742  |    0.0    |
|       114       | 25 |       1415      |  False  |  28 |      16196       | 0.0034148693084716797  |    0.0    |
|       114       | 50 |       2550      |  False  |  57 |      20589       |    0.00543212890625    |    0.0    |
|       114       | 75 |       3374      |  False  |  85 |      25080       |  0.007386922836303711  |    0.0    |
|       115       | 12 |       750       |  False  |  13 |      14734       |  0.00249481201171875   |    0.0    |
|       115       | 25 |       1426      |  False  |  28 |      16320       |  0.003712892532348633  |    0.0    |
|       115       | 50 |       2567      |  False  |  57 |      21926       |  0.005934000015258789  |    0.0    |
|       115       | 75 |       3424      |  False  |  86 |      25244       |  0.007800102233886719  |    0.0    |
|       116       | 12 |       749       |  False  |  13 |      14906       | 0.0025680065155029297  |    0.0    |
|       116       | 25 |       1458      |  False  |  29 |      16603       |  0.003679990768432617  |    0.0    |
|       116       | 50 |       2583      |  False  |  58 |      20723       |  0.005552768707275391  |    0.0    |
|       116       | 75 |       3545      |  False  |  87 |      28487       |  0.007760047912597656  |    0.0    |
|       117       | 12 |       766       |  False  |  14 |      15181       |   0.0024871826171875   |    0.0    |
|       117       | 25 |       1500      |  False  |  29 |      17098       | 0.0036602020263671875  |    0.0    |
|       117       | 50 |       2673      |  False  |  58 |      21642       |  0.005776166915893555  |    0.0    |
|       117       | 75 |       3601      |  False  |  87 |      26570       |  0.007752895355224609  |    0.0    |
|       118       | 12 |       777       |  False  |  14 |      15395       | 0.0025310516357421875  |    0.0    |
|       118       | 25 |       1533      |  False  |  29 |      17329       |  0.003738880157470703  |    0.0    |
|       118       | 50 |       2691      |  False  |  59 |      21519       |  0.005883932113647461  |    0.0    |
|       118       | 75 |       3624      |  False  |  88 |      28394       |  0.007976770401000977  |    0.0    |
|       119       | 12 |       795       |  False  |  14 |      15741       | 0.0025811195373535156  |    0.0    |
|       119       | 25 |       1582      |  False  |  29 |      17868       | 0.0038700103759765625  |    0.0    |
|       119       | 50 |       2757      |  False  |  59 |      22720       |  0.006055116653442383  |    0.0    |
|       119       | 75 |       3719      |  False  |  89 |      28559       |  0.008116960525512695  |    0.0    |
|       120       | 12 |       808       |  False  |  14 |      15950       |  0.002627849578857422  |    0.0    |
|       120       | 25 |       1581      |  False  |  30 |      17938       | 0.0038750171661376953  |    0.0    |
|       120       | 50 |       2822      |  False  |  60 |      23217       |  0.00623774528503418   |    0.0    |
|       120       | 75 |       3794      |  False  |  90 |      29346       |  0.008428812026977539  |    0.0    |
|       121       | 12 |       824       |  False  |  14 |      16448       | 0.0026907920837402344  |    0.0    |
|       121       | 25 |       1607      |  False  |  30 |      18349       |  0.003991842269897461  |    0.0    |
|       121       | 50 |       2834      |  False  |  60 |      23045       |  0.006367921829223633  |    0.0    |
|       121       | 75 |       3816      |  False  |  90 |      29427       |  0.008780956268310547  |    0.0    |
|       122       | 12 |       829       |  False  |  14 |      16502       | 0.0027577877044677734  |    0.0    |
|       122       | 25 |       1636      |  False  |  30 |      18668       | 0.0043299198150634766  |    0.0    |
|       122       | 50 |       2917      |  False  |  61 |      23484       |  0.006913661956787109  |    0.0    |
|       122       | 75 |       3917      |  False  |  91 |      29913       |  0.009225845336914062  |    0.0    |
|       123       | 12 |       844       |  False  |  14 |      16784       |  0.002936124801635742  |    0.0    |
|       123       | 25 |       1667      |  False  |  30 |      18907       | 0.0043430328369140625  |    0.0    |
|       123       | 50 |       2957      |  False  |  61 |      23828       |  0.006907224655151367  |    0.0    |
|       123       | 75 |       3967      |  False  |  92 |      30988       |  0.009320974349975586  |    0.0    |
|       124       | 12 |       868       |  False  |  14 |      17049       |   0.0029449462890625   |    0.0    |
|       124       | 25 |       1679      |  False  |  31 |      19076       |  0.004466056823730469  |    0.0    |
|       124       | 50 |       3009      |  False  |  62 |      23961       | 0.0067539215087890625  |    0.0    |
|       124       | 75 |       4048      |  False  |  93 |      31542       |  0.009226322174072266  |    0.0    |
|       125       | 12 |       874       |  False  |  15 |      17536       | 0.0029287338256835938  |    0.0    |
|       125       | 25 |       1709      |  False  |  31 |      19560       | 0.0043621063232421875  |    0.0    |
|       125       | 50 |       3049      |  False  |  62 |      24752       | 0.0069561004638671875  |    0.0    |
|       125       | 75 |       4085      |  False  |  93 |      31077       |  0.009284257888793945  |    0.0    |
|       126       | 12 |       883       |  False  |  15 |      17842       | 0.0029621124267578125  |    0.0    |
|       126       | 25 |       1760      |  False  |  31 |      20114       |  0.004466056823730469  |    0.0    |
|       126       | 50 |       3089      |  False  |  63 |      25730       |  0.007006168365478516  |    0.0    |
|       126       | 75 |       4169      |  False  |  94 |      31071       |  0.009505033493041992  |    0.0    |
|       127       | 12 |       906       |  False  |  15 |      17905       | 0.0030126571655273438  |    0.0    |
|       127       | 25 |       1778      |  False  |  31 |      20066       |  0.004528045654296875  |    0.0    |
|       127       | 50 |       3174      |  False  |  63 |      25725       |  0.007302999496459961  |    0.0    |
|       127       | 75 |       4220      |  False  |  95 |      32179       |  0.00974416732788086   |    0.0    |
|       128       | 12 |       926       |  False  |  15 |      18202       |  0.003092050552368164  |    0.0    |
|       128       | 25 |       1783      |  False  |  32 |      20354       | 0.0045812129974365234  |    0.0    |
|       128       | 50 |       3194      |  False  |  64 |      26779       |  0.007388114929199219  |    0.0    |
|       128       | 75 |       4276      |  False  |  96 |      31811       |  0.009795904159545898  |   43.75   |
|       129       | 12 |       921       |  False  |  15 |      18418       |  0.003106832504272461  |    0.0    |
|       129       | 25 |       1834      |  False  |  32 |      20957       |  0.004713773727416992  |    0.0    |
|       129       | 50 |       3256      |  False  |  64 |      26131       |  0.008082151412963867  |    0.0    |
|       129       | 75 |       4375      |  False  |  96 |      31694       |  0.010792255401611328  |    0.0    |
|       130       | 12 |       953       |  False  |  15 |      19064       | 0.0033600330352783203  |    0.0    |
|       130       | 25 |       1844      |  False  |  32 |      20993       |  0.005125284194946289  |    0.0    |
|       130       | 50 |       3292      |  False  |  65 |      26272       |  0.008121967315673828  |    0.0    |
|       130       | 75 |       4440      |  False  |  97 |      34212       |  0.010515928268432617  |    0.0    |
|       131       | 12 |       967       |  False  |  15 |      19189       | 0.0032689571380615234  |    0.0    |
|       131       | 25 |       1875      |  False  |  32 |      21807       |  0.004904985427856445  |    0.0    |
|       131       | 50 |       3357      |  False  |  65 |      26721       |  0.007816314697265625  |    0.0    |
|       131       | 75 |       4465      |  False  |  98 |      33468       |  0.010467052459716797  |    0.0    |
|       132       | 12 |       978       |  False  |  15 |      19478       |  0.003323078155517578  |    0.0    |
|       132       | 25 |       1889      |  False  |  33 |      22024       |  0.004961967468261719  |    0.0    |
|       132       | 50 |       3401      |  False  |  66 |      27442       |  0.00797891616821289   |    0.0    |
|       132       | 75 |       4594      |  False  |  99 |      34711       |    0.01080322265625    |    0.0    |
|       133       | 12 |       980       |  False  |  15 |      19633       | 0.0033769607543945312  |    0.0    |
|       133       | 25 |       1937      |  False  |  33 |      22628       |  0.005140066146850586  |    0.0    |
|       133       | 50 |       3442      |  False  |  66 |      28033       |  0.008150100708007812  |    0.0    |
|       133       | 75 |       4655      |  False  |  99 |      35504       |  0.01112508773803711   |    0.0    |
|       134       | 12 |       1019      |  False  |  16 |      19986       |  0.003448009490966797  |    0.0    |
|       134       | 25 |       1975      |  False  |  33 |      22808       |  0.005206108093261719  |    0.0    |
|       134       | 50 |       3534      |  False  |  67 |      29381       |  0.008526086807250977  |    0.0    |
|       134       | 75 |       4710      |  False  | 100 |      35137       |  0.011185884475708008  |    0.0    |
|       135       | 12 |       1027      |  False  |  16 |      20592       |  0.003549337387084961  |    0.0    |
|       135       | 25 |       1984      |  False  |  33 |      22861       | 0.0052869319915771484  |    0.0    |
|       135       | 50 |       3563      |  False  |  67 |      29037       |  0.00854802131652832   |    0.0    |
|       135       | 75 |       4748      |  False  | 101 |      35255       |  0.011471748352050781  |    0.0    |
|       136       | 12 |       1035      |  False  |  16 |      20601       | 0.0035898685455322266  |    0.0    |
|       136       | 25 |       2026      |  False  |  34 |      23097       | 0.0053789615631103516  |    0.0    |
|       136       | 50 |       3604      |  False  |  68 |      29267       |  0.008725881576538086  |    0.0    |
|       136       | 75 |       4894      |  False  | 102 |      36203       |  0.011920928955078125  |    0.0    |
|       137       | 12 |       1053      |  False  |  16 |      20940       | 0.0036249160766601562  |    0.0    |
|       137       | 25 |       2060      |  False  |  34 |      23934       |  0.005558013916015625  |    0.0    |
|       137       | 50 |       3628      |  False  |  68 |      29271       |  0.008750677108764648  |    0.0    |
|       137       | 75 |       4972      |  False  | 102 |      37847       |  0.012109041213989258  |    0.0    |
|       138       | 12 |       1079      |  False  |  16 |      21096       |  0.003713846206665039  |    0.0    |
|       138       | 25 |       2101      |  False  |  34 |      23975       | 0.0056302547454833984  |    0.0    |
|       138       | 50 |       3691      |  False  |  69 |      30318       |  0.00903010368347168   |    0.0    |
|       138       | 75 |       4993      |  False  | 103 |      36982       |  0.012205123901367188  |    0.0    |
|       139       | 12 |       1078      |  False  |  16 |      21587       |  0.003736257553100586  |    0.0    |
|       139       | 25 |       2103      |  False  |  34 |      24222       | 0.0056951045989990234  |    0.0    |
|       139       | 50 |       3792      |  False  |  69 |      30845       |  0.009295940399169922  |    0.0    |
|       139       | 75 |       5058      |  False  | 104 |      39190       |  0.012525796890258789  |    0.0    |
|       140       | 12 |       1095      |  False  |  16 |      21967       | 0.0038640499114990234  |    0.0    |
|       140       | 25 |       2136      |  False  |  35 |      24449       |  0.005791902542114258  |    0.0    |
|       140       | 50 |       3852      |  False  |  70 |      31138       |  0.009477853775024414  |    0.0    |
|       140       | 75 |       5172      |  False  | 105 |      39738       |  0.012961149215698242  |    0.0    |
|       141       | 12 |       1105      |  False  |  16 |      22096       |  0.003909111022949219  |    0.0    |
|       141       | 25 |       2185      |  False  |  35 |      24883       |  0.005957126617431641  |    0.0    |
|       141       | 50 |       3883      |  False  |  70 |      32014       |  0.009617090225219727  |    0.0    |
|       141       | 75 |       5256      |  False  | 105 |      39407       |  0.013041019439697266  |    0.0    |
|       142       | 12 |       1144      |  False  |  17 |      22506       |  0.004007101058959961  |    0.0    |
|       142       | 25 |       2222      |  False  |  35 |      25385       |  0.006047964096069336  |    0.0    |
|       142       | 50 |       3936      |  False  |  71 |      31938       |  0.009766101837158203  |    0.0    |
|       142       | 75 |       5213      |  False  | 106 |      39976       |  0.013059139251708984  |    0.0    |
|       143       | 12 |       1157      |  False  |  17 |      22806       |  0.004071950912475586  |    0.0    |
|       143       | 25 |       2243      |  False  |  35 |      25607       |  0.006164073944091797  |    0.0    |
|       143       | 50 |       3935      |  False  |  71 |      32039       |  0.009831905364990234  |    0.0    |
|       143       | 75 |       5357      |  False  | 107 |      41661       |  0.01359105110168457   |    0.0    |
|       144       | 12 |       1166      |  False  |  17 |      23086       |  0.004141092300415039  |    0.0    |
|       144       | 25 |       2270      |  False  |  36 |      25906       |  0.006269931793212891  |    0.0    |
|       144       | 50 |       4083      |  False  |  72 |      32572       |  0.010251045227050781  |    0.0    |
|       144       | 75 |       5420      |  False  | 108 |      41433       |  0.013829946517944336  |    0.0    |
|       145       | 12 |       1184      |  False  |  17 |      23412       | 0.0042209625244140625  |    0.0    |
|       145       | 25 |       2326      |  False  |  36 |      26411       |  0.006412029266357422  |    0.0    |
|       145       | 50 |       4122      |  False  |  72 |      33124       |  0.01044011116027832   |    0.0    |
|       145       | 75 |       5530      |  False  | 108 |      42408       |  0.014089345932006836  |    0.0    |
|       146       | 12 |       1201      |  False  |  17 |      23765       |  0.004270076751708984  |    0.0    |
|       146       | 25 |       2350      |  False  |  36 |      26653       |  0.006540060043334961  |    0.0    |
|       146       | 50 |       4183      |  False  |  73 |      33397       |  0.01057291030883789   |    0.0    |
|       146       | 75 |       5612      |  False  | 109 |      43910       |  0.014514923095703125  |    0.0    |
|       147       | 12 |       1204      |  False  |  17 |      24014       |  0.004317045211791992  |    0.0    |
|       147       | 25 |       2376      |  False  |  36 |      27181       |  0.006635904312133789  |    0.0    |
|       147       | 50 |       4222      |  False  |  73 |      33779       |  0.010755777359008789  |    0.0    |
|       147       | 75 |       5587      |  False  | 110 |      42386       |  0.014371156692504883  |    0.0    |
|       148       | 12 |       1231      |  False  |  17 |      24598       |  0.004399776458740234  |    0.0    |
|       148       | 25 |       2391      |  False  |  37 |      27813       |  0.006746768951416016  |    0.0    |
|       148       | 50 |       4269      |  False  |  74 |      34641       |  0.011140108108520508  |    0.0    |
|       148       | 75 |       5786      |  False  | 111 |      46322       |  0.015144824981689453  |    0.0    |
|       149       | 12 |       1253      |  False  |  17 |      24650       |  0.004478931427001953  |    0.0    |
|       149       | 25 |       2472      |  False  |  37 |      28606       |  0.006951808929443359  |    0.0    |
|       149       | 50 |       4347      |  False  |  74 |      34828       |  0.011228084564208984  |    0.0    |
|       149       | 75 |       5818      |  False  | 111 |      44279       |  0.01512908935546875   |    0.0    |
|       150       | 12 |       1265      |  False  |  18 |      25101       | 0.0045359134674072266  |    0.0    |
|       150       | 25 |       2479      |  False  |  37 |      28172       |  0.007035732269287109  |    0.0    |
|       150       | 50 |       4402      |  False  |  75 |      35669       |  0.011391162872314453  |    0.0    |
|       150       | 75 |       5870      |  False  | 112 |      44481       |  0.015340089797973633  |    0.0    |
|       151       | 12 |       1266      |  False  |  18 |      25416       |  0.004591941833496094  |    0.0    |
|       151       | 25 |       2518      |  False  |  37 |      28817       | 0.0071392059326171875  |    0.0    |
|       151       | 50 |       4452      |  False  |  75 |      36308       |  0.011665105819702148  |    0.0    |
|       151       | 75 |       5982      |  False  | 113 |      45135       |  0.015813827514648438  |    0.0    |
|       152       | 12 |       1289      |  False  |  18 |      25823       |  0.004718780517578125  |    0.0    |
|       152       | 25 |       2551      |  False  |  38 |      28986       |  0.00722813606262207   |    0.0    |
|       152       | 50 |       4513      |  False  |  76 |      36450       |  0.011777877807617188  |    0.0    |
|       152       | 75 |       6010      |  False  | 114 |      46256       |  0.01594400405883789   |    0.0    |
|       153       | 12 |       1325      |  False  |  18 |      26336       |  0.004783153533935547  |    0.0    |
|       153       | 25 |       2566      |  False  |  38 |      29467       |  0.007559776306152344  |    0.0    |
|       153       | 50 |       4572      |  False  |  76 |      36611       |  0.012211799621582031  |    0.0    |
|       153       | 75 |       6162      |  False  | 114 |      47811       |  0.016345739364624023  |    0.0    |
|       154       | 12 |       1348      |  False  |  18 |      26398       | 0.0048999786376953125  |    0.0    |
|       154       | 25 |       2612      |  False  |  38 |      29949       |  0.007534980773925781  |    0.0    |
|       154       | 50 |       4616      |  False  |  77 |      37404       |  0.012248992919921875  |    0.0    |
|       154       | 75 |       6211      |  False  | 115 |      48192       |  0.016916990280151367  |    0.0    |
|       155       | 12 |       1353      |  False  |  18 |      26948       |  0.004934787750244141  |    0.0    |
|       155       | 25 |       2641      |  False  |  38 |      30562       | 0.0076351165771484375  |    0.0    |
|       155       | 50 |       4679      |  False  |  77 |      37959       |  0.012462139129638672  |    0.0    |
|       155       | 75 |       6284      |  False  | 116 |      48035       |  0.01703500747680664   |    0.0    |
|       156       | 12 |       1378      |  False  |  18 |      27368       | 0.0050280094146728516  |    0.0    |
|       156       | 25 |       2663      |  False  |  39 |      30569       |  0.007738828659057617  |    0.0    |
|       156       | 50 |       4770      |  False  |  78 |      38836       |  0.012747049331665039  |    0.0    |
|       156       | 75 |       6423      |  False  | 117 |      48715       |  0.01730823516845703   |    0.0    |
|       157       | 12 |       1377      |  False  |  18 |      27482       |  0.005095958709716797  |    0.0    |
|       157       | 25 |       2702      |  False  |  39 |      30805       |  0.007863044738769531  |    0.0    |
