Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
144,12,1161,3,2310,0.005155086517333984,3.0625
144,25,2275,4,9731,0.008433818817138672,0.0
144,50,4033,7,110256,0.1024329662322998,0.0
144,75,5462,9,1163389,0.967951774597168,0.5
145,12,1185,3,2287,0.0052988529205322266,3.0
145,25,2305,4,9759,0.008993148803710938,0.0
145,50,4124,6,114421,0.10479116439819336,2.09375
145,75,5524,9,1306592,1.091188907623291,39.125
146,12,1201,3,2434,0.00530695915222168,0.0
146,25,2343,5,9933,0.008683919906616211,0.0
146,50,4163,7,111564,0.09280276298522949,0.0
146,75,5602,8,1266249,1.060572862625122,10.859375
147,12,1209,3,2080,0.005983829498291016,1.0
147,25,2369,4,10326,0.009002923965454102,1.15625
147,50,4201,6,110653,0.09472298622131348,10.0
147,75,5617,8,1140351,0.9619688987731934,13.3125
148,12,1238,3,2457,0.005362272262573242,1.375
148,25,2405,4,9954,0.0086212158203125,0.0
148,50,4308,7,113784,0.09553813934326172,0.0
148,75,5780,8,1399651,1.1666228771209717,2.34375
149,12,1243,3,2434,0.007156848907470703,3.03125
149,25,2440,4,10144,0.008932828903198242,0.0
149,50,4362,5,134017,0.13323974609375,0.28125
149,75,5875,9,1668899,1.426581859588623,8.171875
150,12,1266,3,2441,0.007556915283203125,2.75
150,25,2470,4,10868,0.009454727172851562,0.5
150,50,4382,7,121549,0.10202383995056152,0.0
150,75,5944,8,1421235,1.2021129131317139,4.59375
151,12,1293,3,2463,0.006518125534057617,2.328125
151,25,2500,4,11528,0.010005950927734375,0.0
151,50,4473,7,122533,0.10243916511535645,0.140625
151,75,5954,8,1297887,1.0883240699768066,6.515625
152,12,1299,3,2457,0.006044149398803711,3.515625
152,25,2531,4,11335,0.009724140167236328,0.0
152,50,4494,6,132048,0.11080098152160645,0.0
152,75,6067,8,1586966,1.330631971359253,5.84375
153,12,1307,3,2851,0.006746053695678711,7.125
153,25,2561,4,11381,0.009836912155151367,4.5
153,50,4605,6,134855,0.11390995979309082,0.0
153,75,6101,7,1526400,1.2784571647644043,2.609375
154,12,1343,3,2789,0.006673097610473633,5.609375
154,25,2595,4,11388,0.010172843933105469,0.5
154,50,4627,7,142262,0.11889100074768066,0.0
154,75,6200,8,1718117,1.4735901355743408,4.078125
155,12,1343,3,2699,0.0067288875579833984,5.34375
155,25,2644,4,12087,0.01066899299621582,0.0
155,50,4691,7,139738,0.12839078903198242,0.0
155,75,6247,8,1502240,1.258171796798706,0.765625
156,12,1346,3,2802,0.006826877593994141,3.40625
156,25,2698,4,12740,0.011343955993652344,0.0
156,50,4776,6,150824,0.1267540454864502,0.359375
156,75,6419,8,1973487,1.6430280208587646,37.53125
157,12,1382,3,2853,0.007584810256958008,8.0
157,25,2697,4,12002,0.010551691055297852,0.0
157,50,4841,7,148845,0.13347887992858887,0.0
157,75,6458,8,1912183,1.5931510925292969,37.5
158,12,1393,3,2749,0.00757598876953125,4.078125
158,25,2758,4,12348,0.010823965072631836,0.5
158,50,4905,6,160281,0.1441340446472168,0.34375
158,75,6525,9,1646746,1.3674027919769287,30.203125
159,12,1437,3,3013,0.007699012756347656,6.265625
159,25,2784,4,13494,0.012029886245727539,0.5
159,50,4941,7,168490,0.14281797409057617,0.0
159,75,6638,8,2000814,1.674842119216919,10.546875
160,12,1440,3,2781,0.008033037185668945,13.890625
160,25,2845,4,13071,0.011442184448242188,0.0
160,50,4985,5,163958,0.13920283317565918,0.0
160,75,6720,9,2369173,2.0033469200134277,14.53125
161,12,1458,3,3028,0.008366823196411133,10.078125
161,25,2841,4,13631,0.0120697021484375,0.0
161,50,5087,6,173005,0.15570998191833496,0.0
161,75,6810,9,2250854,1.9116449356079102,13.203125
162,12,1461,3,2901,0.008471012115478516,7.546875
162,25,2885,4,12853,0.011615991592407227,0.0
162,50,5147,7,170226,0.14579105377197266,0.796875
162,75,6927,7,2345103,1.9833667278289795,4.46875
163,12,1504,3,3140,0.009006261825561523,7.921875
163,25,2913,4,13731,0.0125579833984375,0.0
163,50,5140,7,174438,0.1496269702911377,0.0
163,75,7009,9,2441421,2.0363688468933105,15.65625
164,12,1499,3,3159,0.009480953216552734,8.609375
164,25,2963,4,14421,0.012617111206054688,3.859375
164,50,5253,7,173589,0.1502668857574463,0.0
164,75,7103,8,2744749,2.3280880451202393,10.21875
165,12,1526,3,2886,0.009660959243774414,9.984375
165,25,3000,4,14768,0.013361215591430664,0.0
165,50,5349,7,202327,0.17319393157958984,0.0
165,75,7085,8,2403180,2.033338785171509,7.328125
166,12,1539,3,3094,0.01100301742553711,9.25
166,25,3022,5,14342,0.012543916702270508,0.0
166,50,5364,7,195141,0.1665019989013672,0.0
166,75,7219,10,2543059,2.1406490802764893,3.5625
167,12,1569,3,3198,0.009895086288452148,9.765625
167,25,3074,4,15488,0.013489007949829102,0.0
167,50,5449,6,196510,0.16840410232543945,0.0
167,75,7342,8,2959410,2.5034408569335938,7.046875
168,12,1576,3,3346,0.010399103164672852,11.234375
168,25,3089,4,16054,0.014566898345947266,0.03125
168,50,5513,6,201408,0.17274785041809082,11.015625
168,75,7352,7,2520549,2.1582250595092773,11.421875
169,12,1606,3,3283,0.009671926498413086,7.8125
169,25,3124,4,14802,0.013165712356567383,0.0
169,50,5584,7,222990,0.18997979164123535,7.3125
169,75,7504,9,2791716,2.3814079761505127,20.453125
170,12,1611,3,3299,0.013916969299316406,10.390625
170,25,3206,4,16243,0.014377832412719727,0.03125
170,50,5636,7,210084,0.17898297309875488,0.0
170,75,7608,8,2982953,2.5543179512023926,10.34375
171,12,1656,3,3644,0.013085126876831055,8.90625
171,25,3206,5,17005,0.015226125717163086,0.53125
171,50,5728,7,229133,0.1977369785308838,1.5
171,75,7644,8,2948775,2.5486481189727783,16.875
172,12,1673,3,3527,0.01147007942199707,15.203125
172,25,3266,4,16348,0.014286279678344727,0.0
172,50,5752,7,217270,0.1891632080078125,0.21875
172,75,7800,9,3377306,2.8734381198883057,19.25
173,12,1697,3,3427,0.011816263198852539,18.71875
173,25,3293,5,17052,0.015470266342163086,0.0
173,50,5893,6,238721,0.2046642303466797,0.0
173,75,7868,8,3386529,2.899473190307617,18.453125
174,12,1697,3,3315,0.01171112060546875,17.421875
174,25,3304,5,15982,0.014252901077270508,0.0
174,50,5956,6,260614,0.22579693794250488,0.0
174,75,7920,7,3256143,2.753990888595581,26.484375
175,12,1720,3,3371,0.011508941650390625,13.15625
175,25,3380,4,17743,0.015655994415283203,0.0
175,50,5979,7,244143,0.21266579627990723,0.0
175,75,8073,9,3627933,3.043320894241333,30.578125
176,12,1734,3,3611,0.013475179672241211,27.84375
176,25,3386,4,15070,0.013304948806762695,0.0
176,50,5989,6,228039,0.20835518836975098,0.0
176,75,8106,8,3659185,3.1579689979553223,8.265625
177,12,1759,3,3671,0.012359857559204102,13.53125
177,25,3426,4,17187,0.01542520523071289,0.046875
177,50,6133,7,254573,0.22876906394958496,0.0
177,75,8212,8,3665146,3.121486186981201,17.625
178,12,1784,3,3868,0.012768983840942383,18.234375
178,25,3500,5,19375,0.017735958099365234,0.0
178,50,6215,7,268419,0.24005389213562012,0.453125
178,75,8295,9,3729520,3.1579339504241943,18.71875
179,12,1789,3,3722,0.013271093368530273,18.890625
179,25,3541,4,18764,0.016546010971069336,0.0
179,50,6307,7,291684,0.24739694595336914,0.515625
179,75,8446,8,4367219,3.756913185119629,33.859375
180,12,1812,3,3682,0.018301963806152344,18.265625
180,25,3565,4,20004,0.01815319061279297,1.0
180,50,6327,6,265680,0.22713804244995117,0.0
180,75,8548,8,4629372,4.033361911773682,12.6875
181,12,1853,3,4215,0.015329122543334961,16.78125
181,25,3624,4,19759,0.01809096336364746,0.0
181,50,6447,6,290289,0.26750993728637695,0.0
181,75,8561,8,3732908,3.2488348484039307,16.265625
182,12,1873,3,4110,0.013948202133178711,22.765625
182,25,3640,4,19126,0.016759872436523438,0.015625
182,50,6479,6,304453,0.2644510269165039,0.265625
182,75,8702,8,3932007,3.3290438652038574,22.359375
183,12,1897,3,4321,0.020843029022216797,0.0
183,25,3664,4,18722,0.01714611053466797,0.0
183,50,6556,6,288196,0.2674698829650879,0.0
183,75,8724,8,3735371,3.199741840362549,7.40625
184,12,1899,3,3797,0.014067888259887695,15.859375
184,25,3687,4,19323,0.01752305030822754,0.015625
184,50,6675,7,325754,0.28125596046447754,0.59375
184,75,8908,8,4755037,4.041039705276489,17.203125
185,12,1921,3,4089,0.01627802848815918,23.109375
185,25,3763,5,20412,0.02682018280029297,1.65625
185,50,6663,7,285565,0.2453000545501709,0.0
185,75,8925,8,4426831,3.828685760498047,25.671875
186,12,1928,3,4211,0.015371084213256836,24.75
186,25,3800,4,20535,0.01822495460510254,0.0
186,50,6692,7,317751,0.2765309810638428,0.0
186,75,9093,9,4719248,4.03117299079895,26.609375
187,12,1978,3,4347,0.017094135284423828,21.109375
187,25,3825,4,20342,0.018246889114379883,0.0
187,50,6820,7,310432,0.2672109603881836,0.0
187,75,9165,8,5234018,4.49238920211792,14.828125
188,12,2006,3,4341,0.016835927963256836,21.25
188,25,3877,4,22021,0.0202789306640625,0.0
188,50,6937,6,346170,0.29583001136779785,0.0
188,75,9286,8,5440249,4.685272693634033,44.0625
189,12,1999,3,4419,0.018090009689331055,23.140625
189,25,3884,4,20451,0.018452882766723633,0.0
189,50,7005,7,347407,0.3013460636138916,6.578125
189,75,9382,8,5690834,4.920837163925171,42.546875
190,12,2045,3,4527,0.02074909210205078,10.15625
190,25,3976,5,22748,0.021903038024902344,0.828125
190,50,7077,7,359316,0.314985990524292,0.0
190,75,9464,8,5805676,5.005140781402588,26.796875
191,12,2034,3,4417,0.01897597312927246,25.0
191,25,3995,4,23226,0.021071195602416992,0.0
191,50,7130,7,348510,0.30828404426574707,0.0
191,75,9561,8,5579736,4.803424835205078,34.96875
192,12,2080,3,4647,0.018920183181762695,26.90625
192,25,4037,5,23818,0.021776199340820312,0.0
192,50,7285,7,400429,0.3505110740661621,0.0
192,75,9643,9,5608633,4.8104870319366455,16.078125
193,12,2064,3,4388,0.018448829650878906,29.734375
193,25,4100,4,24459,0.02253103256225586,0.0
193,50,7285,6,381804,0.33449697494506836,0.0
193,75,9872,10,7026578,5.984631061553955,67.828125
194,12,2120,3,4542,0.02211284637451172,40.546875
194,25,4134,4,24621,0.02228379249572754,0.0
194,50,7364,6,398762,0.3558070659637451,0.484375
194,75,9864,8,6172106,5.296832084655762,29.34375
195,12,2120,3,4695,0.01971721649169922,29.8125
195,25,4206,4,23369,0.020659923553466797,0.015625
195,50,7457,7,417541,0.35340213775634766,1.09375
195,75,9954,9,6207252,5.358699083328247,66.515625
196,12,2157,3,4757,0.02047419548034668,49.796875
196,25,4243,5,25901,0.023108959197998047,0.0
196,50,7495,6,384030,0.35835790634155273,3.859375
196,75,10077,8,6933261,6.016005039215088,70.65625
197,12,2180,3,4960,0.02172994613647461,39.5
197,25,4257,5,24895,0.022404909133911133,0.0
197,50,7598,6,427666,0.3619260787963867,0.0
197,75,10211,8,7121790,6.096956968307495,25.328125
198,12,2197,3,4956,0.021860837936401367,31.96875
198,25,4344,4,25430,0.022536039352416992,0.015625
198,50,7726,6,415737,0.3748290538787842,0.703125
198,75,10347,8,7637923,6.610724687576294,105.328125
199,12,2218,3,4853,0.024033784866333008,50.9375
199,25,4360,5,25718,0.023017168045043945,0.0
199,50,7765,6,433870,0.37792396545410156,3.4375
199,75,10424,8,7816878,6.819540977478027,53.015625
