+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
|        8        |  75  |        21       |  12.5 | 1  |      True      |        31        | 3.314018249511719e-05  |    0.0    |
|        8        |  75  |        21       |   25  | 2  |     False      |        31        | 2.9087066650390625e-05 |    0.0    |
|        8        |  75  |        21       |   50  | 4  |      True      |        31        | 2.6941299438476562e-05 |    0.0    |
|        8        |  75  |        21       |   75  | 6  |     False      |        31        | 2.6941299438476562e-05 |    0.0    |
|        9        | 12.5 |        4        |  12.5 | 1  |      True      |        9         | 1.4066696166992188e-05 |    0.0    |
|        9        | 12.5 |        4        |   25  | 2  |      True      |        9         | 1.0967254638671875e-05 |    0.0    |
|        9        | 12.5 |        4        |   50  | 4  |     False      |        9         | 1.1205673217773438e-05 |    0.0    |
|        9        | 12.5 |        4        |   75  | 6  |     False      |        9         | 1.0967254638671875e-05 |    0.0    |
|        9        |  25  |        9        |  12.5 | 1  |      True      |        19        |  2.09808349609375e-05  |    0.0    |
|        9        |  25  |        9        |   25  | 2  |      True      |        19        | 1.8835067749023438e-05 |    0.0    |
|        9        |  25  |        9        |   50  | 4  |     False      |        19        |  1.9073486328125e-05   |    0.0    |
|        9        |  25  |        9        |   75  | 6  |     False      |        19        | 1.8835067749023438e-05 |    0.0    |
|        9        |  50  |        18       |  12.5 | 1  |      True      |        26        | 3.0040740966796875e-05 |    0.0    |
|        9        |  50  |        18       |   25  | 2  |      True      |        26        | 2.8133392333984375e-05 |    0.0    |
|        9        |  50  |        18       |   50  | 4  |      True      |        26        | 2.6941299438476562e-05 |    0.0    |
|        9        |  50  |        18       |   75  | 6  |     False      |        26        | 2.5987625122070312e-05 |    0.0    |
|        9        |  75  |        27       |  12.5 | 1  |      True      |        34        | 3.6716461181640625e-05 |    0.0    |
|        9        |  75  |        27       |   25  | 2  |      True      |        34        | 3.3855438232421875e-05 |    0.0    |
|        9        |  75  |        27       |   50  | 4  |      True      |        34        | 3.0994415283203125e-05 |    0.0    |
|        9        |  75  |        27       |   75  | 6  |     False      |        34        | 3.0994415283203125e-05 |    0.0    |
|        10       | 12.5 |        6        |  12.5 | 1  |      True      |        13        |  1.71661376953125e-05  |    0.0    |
|        10       | 12.5 |        6        |   25  | 2  |      True      |        13        | 1.4066696166992188e-05 |    0.0    |
|        10       | 12.5 |        6        |   50  | 5  |     False      |        13        | 1.4066696166992188e-05 |    0.0    |
|        10       | 12.5 |        6        |   75  | 7  |     False      |        13        | 1.4066696166992188e-05 |    0.0    |
|        10       |  25  |        11       |  12.5 | 1  |      True      |        21        | 2.2649765014648438e-05 |    0.0    |
|        10       |  25  |        11       |   25  | 2  |      True      |        21        |  2.09808349609375e-05  |    0.0    |
|        10       |  25  |        11       |   50  | 5  |     False      |        21        |  2.09808349609375e-05  |    0.0    |
|        10       |  25  |        11       |   75  | 7  |     False      |        21        | 2.0265579223632812e-05 |    0.0    |
|        10       |  50  |        22       |  12.5 | 1  |      True      |        33        | 3.600120544433594e-05  |    0.0    |
|        10       |  50  |        22       |   25  | 2  |      True      |        33        | 3.1948089599609375e-05 |    0.0    |
|        10       |  50  |        22       |   50  | 5  |     False      |        33        | 3.0994415283203125e-05 |    0.0    |
|        10       |  50  |        22       |   75  | 7  |     False      |        33        | 3.0040740966796875e-05 |    0.0    |
|        10       |  75  |        34       |  12.5 | 1  |      True      |        56        | 5.888938903808594e-05  |    0.0    |
|        10       |  75  |        34       |   25  | 2  |     False      |        56        | 5.0067901611328125e-05 |    0.0    |
|        10       |  75  |        34       |   50  | 5  |      True      |        56        | 4.792213439941406e-05  |    0.0    |
|        10       |  75  |        34       |   75  | 7  |     False      |        56        | 4.7206878662109375e-05 |    0.0    |
|        11       | 12.5 |        7        |  12.5 | 1  |      True      |        16        |   2.288818359375e-05   |    0.0    |
|        11       | 12.5 |        7        |   25  | 2  |      True      |        16        | 1.811981201171875e-05  |    0.0    |
|        11       | 12.5 |        7        |   50  | 5  |     False      |        16        | 1.6927719116210938e-05 |    0.0    |
|        11       | 12.5 |        7        |   75  | 8  |     False      |        16        |  1.71661376953125e-05  |    0.0    |
|        11       |  25  |        14       |  12.5 | 1  |      True      |        27        | 2.9802322387695312e-05 |    0.0    |
|        11       |  25  |        14       |   25  | 2  |      True      |        27        | 2.5987625122070312e-05 |    0.0    |
|        11       |  25  |        14       |   50  | 5  |     False      |        27        | 2.5033950805664062e-05 |    0.0    |
|        11       |  25  |        14       |   75  | 8  |     False      |        27        | 2.4080276489257812e-05 |    0.0    |
|        11       |  50  |        28       |  12.5 | 1  |      True      |        34        |   3.814697265625e-05   |    0.0    |
|        11       |  50  |        28       |   25  | 2  |      True      |        34        | 3.3855438232421875e-05 |    0.0    |
|        11       |  50  |        28       |   50  | 5  |     False      |        34        | 3.314018249511719e-05  |    0.0    |
|        11       |  50  |        28       |   75  | 8  |     False      |        34        | 3.1948089599609375e-05 |    0.0    |
|        11       |  75  |        41       |  12.5 | 1  |      True      |        54        | 5.507469177246094e-05  |    0.0    |
|        11       |  75  |        41       |   25  | 2  |     False      |        54        | 4.887580871582031e-05  |    0.0    |
|        11       |  75  |        41       |   50  | 5  |      True      |        54        | 4.6253204345703125e-05 |    0.0    |
|        11       |  75  |        41       |   75  | 8  |     False      |        54        | 4.601478576660156e-05  |    0.0    |
|        12       | 12.5 |        8        |  12.5 | 1  |      True      |        18        |  2.09808349609375e-05  |    0.0    |
|        12       | 12.5 |        8        |   25  | 3  |     False      |        18        |  1.9073486328125e-05   |    0.0    |
|        12       | 12.5 |        8        |   50  | 6  |     False      |        18        | 1.811981201171875e-05  |    0.0    |
|        12       | 12.5 |        8        |   75  | 9  |     False      |        18        | 1.6689300537109375e-05 |    0.0    |
|        12       |  25  |        16       |  12.5 | 1  |      True      |        29        | 3.0994415283203125e-05 |    0.0    |
|        12       |  25  |        16       |   25  | 3  |      True      |        29        | 2.6941299438476562e-05 |    0.0    |
|        12       |  25  |        16       |   50  | 6  |     False      |        29        | 2.574920654296875e-05  |    0.0    |
|        12       |  25  |        16       |   75  | 9  |     False      |        29        | 2.6226043701171875e-05 |    0.0    |
|        12       |  50  |        33       |  12.5 | 1  |      True      |        47        | 4.7206878662109375e-05 |    0.0    |
|        12       |  50  |        33       |   25  | 3  |      True      |        47        | 4.291534423828125e-05  |    0.0    |
|        12       |  50  |        33       |   50  | 6  |     False      |        47        | 4.100799560546875e-05  |    0.0    |
|        12       |  50  |        33       |   75  | 9  |     False      |        47        |  4.00543212890625e-05  |    0.0    |
|        12       |  75  |        50       |  12.5 | 1  |      True      |        68        | 6.413459777832031e-05  |    0.0    |
|        12       |  75  |        50       |   25  | 3  |      True      |        68        |  5.91278076171875e-05  |    0.0    |
|        12       |  75  |        50       |   50  | 6  |     False      |        68        | 5.5789947509765625e-05 |    0.0    |
|        12       |  75  |        50       |   75  | 9  |     False      |        68        | 5.507469177246094e-05  |    0.0    |
|        13       | 12.5 |        10       |  12.5 | 1  |      True      |        22        | 2.384185791015625e-05  |    0.0    |
|        13       | 12.5 |        10       |   25  | 3  |     False      |        22        | 2.193450927734375e-05  |    0.0    |
|        13       | 12.5 |        10       |   50  | 6  |     False      |        22        |  2.09808349609375e-05  |    0.0    |
|        13       | 12.5 |        10       |   75  | 9  |     False      |        22        |  2.09808349609375e-05  |    0.0    |
|        13       |  25  |        20       |  12.5 | 1  |      True      |        33        | 3.3855438232421875e-05 |    0.0    |
|        13       |  25  |        20       |   25  | 3  |      True      |        33        | 3.0994415283203125e-05 |    0.0    |
|        13       |  25  |        20       |   50  | 6  |     False      |        33        | 2.9802322387695312e-05 |    0.0    |
|        13       |  25  |        20       |   75  | 9  |     False      |        33        | 2.8848648071289062e-05 |    0.0    |
|        13       |  50  |        39       |  12.5 | 1  |      True      |        57        | 5.698204040527344e-05  |    0.0    |
|        13       |  50  |        39       |   25  | 3  |      True      |        57        | 5.1975250244140625e-05 |    0.0    |
|        13       |  50  |        39       |   50  | 6  |     False      |        57        | 4.887580871582031e-05  |    0.0    |
|        13       |  50  |        39       |   75  | 9  |     False      |        57        | 4.9114227294921875e-05 |    0.0    |
|        13       |  75  |        58       |  12.5 | 1  |      True      |        98        | 9.799003601074219e-05  |    0.0    |
