+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
|        22       | 25 |        52       |                [2, 3, 4]                 |      3      | 0.0003666877746582031  |
|        22       | 50 |        95       |             [2, 3, 4, 5, 6]              |      5      |  0.000827789306640625  |
|        22       | 75 |       130       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0010981559753417969  |
|        23       | 12 |        29       |                [2, 3, 4]                 |      3      | 0.0002968311309814453  |
|        23       | 25 |        57       |               [2, 3, 4, 5]               |      4      | 0.00045180320739746094 |
|        23       | 50 |       100       |             [2, 3, 4, 5, 6]              |      5      | 0.0006306171417236328  |
|        23       | 75 |       135       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0004253387451171875  |
|        24       | 12 |        33       |               [2, 3, 4, 5]               |      4      |  0.000141143798828125  |
|        24       | 25 |        63       |               [2, 3, 4, 5]               |      4      | 0.00018787384033203125 |
|        24       | 50 |       112       |             [2, 3, 4, 5, 6]              |      5      | 0.0003502368927001953  |
|        24       | 75 |       140       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.00051116943359375   |
|        25       | 12 |        35       |                [2, 3, 4]                 |      3      | 0.00012183189392089844 |
|        25       | 25 |        71       |               [2, 3, 4, 5]               |      4      | 0.0001919269561767578  |
|        25       | 50 |       123       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.00049591064453125   |
|        25       | 75 |       168       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0006220340728759766  |
|        26       | 12 |        37       |                [2, 3, 4]                 |      3      | 0.00013589859008789062 |
|        26       | 25 |        75       |               [2, 3, 4, 5]               |      4      | 0.0002167224884033203  |
|        26       | 50 |       132       |             [2, 3, 4, 5, 6]              |      5      | 0.00035834312438964844 |
|        26       | 75 |       170       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0005199909210205078  |
|        27       | 12 |        41       |                [2, 3, 4]                 |      3      | 0.00015783309936523438 |
|        27       | 25 |        80       |               [2, 3, 4, 5]               |      4      |  0.000225067138671875  |
|        27       | 50 |       136       |             [2, 3, 4, 5, 6]              |      5      |  0.00037384033203125   |
|        27       | 75 |       181       |            [2, 3, 4, 5, 6, 7]            |      6      |  0.000621795654296875  |
|        28       | 12 |        40       |                [2, 3, 4]                 |      3      | 0.00016307830810546875 |
|        28       | 25 |        82       |               [2, 3, 4, 5]               |      4      | 0.00026607513427734375 |
|        28       | 50 |       144       |               [2, 3, 4, 5]               |      4      | 0.00039887428283691406 |
|        28       | 75 |       195       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0008082389831542969  |
|        29       | 12 |        47       |                [2, 3, 4]                 |      3      | 0.0001850128173828125  |
|        29       | 25 |        89       |             [2, 3, 4, 5, 6]              |      5      | 0.0003440380096435547  |
|        29       | 50 |       164       |             [2, 3, 4, 5, 6]              |      5      | 0.0005109310150146484  |
|        29       | 75 |       216       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0008320808410644531  |
|        30       | 12 |        51       |                [2, 3, 4]                 |      3      | 0.00018215179443359375 |
|        30       | 25 |        97       |               [2, 3, 4, 5]               |      4      | 0.0002758502960205078  |
