+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|        81       | 75 |       1682      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.02933812141418457   |
|        82       | 12 |       376       |             [2, 3, 4]              |      3      | 0.0006589889526367188  |
|        82       | 25 |       735       |            [2, 3, 4, 5]            |      4      | 0.0018770694732666016  |
|        82       | 50 |       1296      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.007985115051269531  |
|        82       | 75 |       1716      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.029680728912353516  |
|        83       | 12 |       383       |             [2, 3, 4]              |      3      |  0.000659942626953125  |
|        83       | 25 |       747       |            [2, 3, 4, 5]            |      4      | 0.0018241405487060547  |
|        83       | 50 |       1322      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.007752895355224609  |
|        83       | 75 |       1776      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.03173184394836426   |
|        84       | 12 |       390       |             [2, 3, 4]              |      3      | 0.0006380081176757812  |
|        84       | 25 |       778       |            [2, 3, 4, 5]            |      4      | 0.0019567012786865234  |
|        84       | 50 |       1368      |          [3, 4, 5, 6, 7]           |      5      |  0.008651971817016602  |
|        84       | 75 |       1828      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.03441214561462402   |
|        85       | 12 |       405       |             [2, 3, 4]              |      3      | 0.0007588863372802734  |
|        85       | 25 |       801       |          [2, 3, 4, 5, 6]           |      5      | 0.0020809173583984375  |
|        85       | 50 |       1376      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.008932828903198242  |
|        85       | 75 |       1866      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.03873014450073242   |
|        86       | 12 |       423       |             [2, 3, 4]              |      3      | 0.0008289813995361328  |
|        86       | 25 |       812       |          [2, 3, 4, 5, 6]           |      5      | 0.0020639896392822266  |
|        86       | 50 |       1435      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.010174036026000977  |
|        86       | 75 |       1932      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.0425410270690918   |
|        87       | 12 |       425       |             [2, 3, 4]              |      3      | 0.0008099079132080078  |
|        87       | 25 |       828       |            [2, 3, 4, 5]            |      4      |  0.002167940139770508  |
|        87       | 50 |       1477      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.010481834411621094  |
|        87       | 75 |       1966      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.04367399215698242   |
|        88       | 12 |       426       |            [2, 3, 4, 5]            |      4      | 0.0007808208465576172  |
|        88       | 25 |       844       |            [2, 3, 4, 5]            |      4      | 0.0021958351135253906  |
|        88       | 50 |       1511      |          [3, 4, 5, 6, 7]           |      5      |  0.010905027389526367  |
|        88       | 75 |       2031      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.04783892631530762   |
|        89       | 12 |       438       |             [2, 3, 4]              |      3      | 0.0008151531219482422  |
|        89       | 25 |       860       |          [2, 3, 4, 5, 6]           |      5      | 0.0021750926971435547  |
|        89       | 50 |       1560      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.011777639389038086  |
|        89       | 75 |       2068      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.051503896713256836  |
|        90       | 12 |       446       |             [2, 3, 4]              |      3      | 0.0008261203765869141  |
|        90       | 25 |       884       |            [2, 3, 4, 5]            |      4      |  0.002343893051147461  |
|        90       | 50 |       1578      |          [3, 4, 5, 6, 7]           |      5      |  0.011812925338745117  |
|        90       | 75 |       2120      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.05475902557373047   |
|        91       | 12 |       461       |             [2, 3, 4]              |      3      | 0.0008711814880371094  |
|        91       | 25 |       908       |            [2, 3, 4, 5]            |      4      | 0.0023889541625976562  |
|        91       | 50 |       1596      |          [3, 4, 5, 6, 7]           |      5      |  0.011793136596679688  |
|        91       | 75 |       2173      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.059471845626831055  |
|        92       | 12 |       467       |             [2, 3, 4]              |      3      | 0.0009169578552246094  |
|        92       | 25 |       926       |            [2, 3, 4, 5]            |      4      | 0.0024712085723876953  |
|        92       | 50 |       1624      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.011360883712768555  |
|        92       | 75 |       2213      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.05861496925354004   |
|        93       | 12 |       480       |             [2, 3, 4]              |      3      | 0.0008630752563476562  |
|        93       | 25 |       948       |            [2, 3, 4, 5]            |      4      |  0.002550840377807617  |
|        93       | 50 |       1684      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.013867855072021484  |
|        93       | 75 |       2266      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.06460690498352051   |
|        94       | 12 |       487       |            [2, 3, 4, 5]            |      4      | 0.0008828639984130859  |
|        94       | 25 |       972       |            [2, 3, 4, 5]            |      4      | 0.0025701522827148438  |
|        94       | 50 |       1710      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.012828826904296875  |
|        94       | 75 |       2317      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.06506180763244629   |
|        95       | 12 |       511       |             [2, 3, 4]              |      3      | 0.0008680820465087891  |
|        95       | 25 |       994       |          [2, 3, 4, 5, 6]           |      5      | 0.0026628971099853516  |
|        95       | 50 |       1751      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.014487981796264648  |
|        95       | 75 |       2351      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.06609010696411133   |
|        96       | 12 |       521       |             [2, 3, 4]              |      3      | 0.0009260177612304688  |
|        96       | 25 |       1010      |          [2, 3, 4, 5, 6]           |      5      | 0.0028009414672851562  |
|        96       | 50 |       1791      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.015434026718139648  |
|        96       | 75 |       2401      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.07731103897094727   |
|        97       | 12 |       533       |            [2, 3, 4, 5]            |      4      | 0.0009348392486572266  |
|        97       | 25 |       1039      |          [2, 3, 4, 5, 6]           |      5      | 0.0028352737426757812  |
|        97       | 50 |       1819      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.014917850494384766  |
|        97       | 75 |       2438      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.07097601890563965   |
|        98       | 12 |       547       |             [2, 3, 4]              |      3      | 0.0009667873382568359  |
|        98       | 25 |       1073      |            [2, 3, 4, 5]            |      4      | 0.0031690597534179688  |
|        98       | 50 |       1888      |          [3, 4, 5, 6, 7]           |      5      |  0.01718306541442871   |
|        98       | 75 |       2523      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.0828399658203125   |
|        99       | 12 |       552       |            [2, 3, 4, 5]            |      4      | 0.0009927749633789062  |
|        99       | 25 |       1077      |          [2, 3, 4, 5, 6]           |      5      | 0.0030879974365234375  |
|        99       | 50 |       1915      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.017646074295043945  |
|        99       | 75 |       2549      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.08389592170715332   |
|       100       | 12 |       567       |             [2, 3, 4]              |      3      | 0.0010178089141845703  |
|       100       | 25 |       1109      |          [2, 3, 4, 5, 6]           |      5      |  0.003245830535888672  |
|       100       | 50 |       1975      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.018681049346923828  |
|       100       | 75 |       2601      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.08508706092834473   |
|       101       | 12 |       569       |             [2, 3, 4]              |      3      | 0.0010139942169189453  |
|       101       | 25 |       1107      |            [2, 3, 4, 5]            |      4      | 0.0032613277435302734  |
|       101       | 50 |       1995      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.018497943878173828  |
|       101       | 75 |       2648      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.09174776077270508   |
|       102       | 12 |       586       |             [2, 3, 4]              |      3      |  0.001070261001586914  |
|       102       | 25 |       1144      |            [2, 3, 4, 5]            |      4      | 0.0032961368560791016  |
|       102       | 50 |       2030      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.018963336944580078  |
|       102       | 75 |       2683      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.09088277816772461   |
|       103       | 12 |       593       |            [2, 3, 4, 5]            |      4      | 0.0010180473327636719  |
|       103       | 25 |       1160      |          [2, 3, 4, 5, 6]           |      5      | 0.0033631324768066406  |
|       103       | 50 |       2084      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.020196914672851562  |
|       103       | 75 |       2783      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.1032419204711914   |
|       104       | 12 |       609       |             [2, 3, 4]              |      3      |  0.001074075698852539  |
|       104       | 25 |       1189      |          [2, 3, 4, 5, 6]           |      5      | 0.0034399032592773438  |
|       104       | 50 |       2126      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.020835161209106445  |
|       104       | 75 |       2864      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.11300992965698242   |
|       105       | 12 |       622       |            [2, 3, 4, 5]            |      4      | 0.0011188983917236328  |
|       105       | 25 |       1207      |          [2, 3, 4, 5, 6]           |      5      | 0.0034368038177490234  |
|       105       | 50 |       2124      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.019053936004638672  |
|       105       | 75 |       2900      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.1138908863067627   |
|       106       | 12 |       637       |             [2, 3, 4]              |      3      |   0.001129150390625    |
|       106       | 25 |       1227      |          [2, 3, 4, 5, 6]           |      5      |  0.003505229949951172  |
|       106       | 50 |       2183      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.021676063537597656  |
|       106       | 75 |       2928      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.11255669593811035   |
|       107       | 12 |       649       |             [2, 3, 4]              |      3      | 0.0011560916900634766  |
|       107       | 25 |       1259      |          [2, 3, 4, 5, 6]           |      5      | 0.0036230087280273438  |
|       107       | 50 |       2251      |         [3, 4, 5, 6, 7, 8]         |      6      |   0.0229489803314209   |
|       107       | 75 |       3017      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.1358811855316162   |
|       108       | 12 |       659       |            [2, 3, 4, 5]            |      4      | 0.0011761188507080078  |
|       108       | 25 |       1291      |          [2, 3, 4, 5, 6]           |      5      | 0.0038089752197265625  |
|       108       | 50 |       2274      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.023443937301635742  |
|       108       | 75 |       3046      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.13088583946228027   |
|       109       | 12 |       665       |            [2, 3, 4, 5]            |      4      |  0.00119781494140625   |
|       109       | 25 |       1304      |          [2, 3, 4, 5, 6]           |      5      |  0.003930807113647461  |
|       109       | 50 |       2324      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.024782180786132812  |
|       109       | 75 |       3084      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.12914586067199707   |
|       110       | 12 |       679       |             [2, 3, 4]              |      3      |  0.001219034194946289  |
|       110       | 25 |       1336      |            [3, 4, 5, 6]            |      4      |  0.003983974456787109  |
|       110       | 50 |       2352      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.024793148040771484  |
|       110       | 75 |       3150      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.13803815841674805   |
|       111       | 12 |       691       |             [2, 3, 4]              |      3      | 0.0012888908386230469  |
|       111       | 25 |       1347      |            [2, 3, 4, 5]            |      4      |  0.004033088684082031  |
|       111       | 50 |       2388      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.025641918182373047  |
|       111       | 75 |       3197      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.13759517669677734   |
|       112       | 12 |       703       |            [2, 3, 4, 5]            |      4      | 0.0013151168823242188  |
|       112       | 25 |       1369      |          [2, 3, 4, 5, 6]           |      5      |  0.004117012023925781  |
|       112       | 50 |       2433      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.02667522430419922   |
|       112       | 75 |       3283      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.15088200569152832   |
|       113       | 12 |       705       |             [2, 3, 4]              |      3      | 0.0014519691467285156  |
|       113       | 25 |       1398      |          [2, 3, 4, 5, 6]           |      5      |  0.004274845123291016  |
|       113       | 50 |       2475      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.027404069900512695  |
|       113       | 75 |       3300      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.14935684204101562   |
|       114       | 12 |       716       |            [2, 3, 4, 5]            |      4      |  0.001341104507446289  |
|       114       | 25 |       1416      |          [2, 3, 4, 5, 6]           |      5      |  0.004391908645629883  |
|       114       | 50 |       2521      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.02882695198059082   |
|       114       | 75 |       3362      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |  0.15940189361572266   |
|       115       | 12 |       747       |             [2, 3, 4]              |      3      |  0.001477956771850586  |
|       115       | 25 |       1439      |          [2, 3, 4, 5, 6]           |      5      |  0.00449681282043457   |
|       115       | 50 |       2598      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.031085968017578125  |
|       115       | 75 |       3465      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.17705011367797852   |
|       116       | 12 |       761       |            [2, 3, 4, 5]            |      4      | 0.0014448165893554688  |
|       116       | 25 |       1479      |          [2, 3, 4, 5, 6]           |      5      |  0.004600048065185547  |
|       116       | 50 |       2649      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.03272128105163574   |
|       116       | 75 |       3525      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.18352365493774414   |
|       117       | 12 |       769       |            [2, 3, 4, 5]            |      4      | 0.0014159679412841797  |
|       117       | 25 |       1511      |          [2, 3, 4, 5, 6]           |      5      |  0.004670858383178711  |
|       117       | 50 |       2679      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.0330960750579834   |
|       117       | 75 |       3576      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.19231700897216797   |
|       118       | 12 |       782       |            [2, 3, 4, 5]            |      4      | 0.0014858245849609375  |
|       118       | 25 |       1539      |          [2, 3, 4, 5, 6]           |      5      | 0.0047969818115234375  |
|       118       | 50 |       2729      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.03491687774658203   |
|       118       | 75 |       3685      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.22700977325439453   |
|       119       | 12 |       789       |             [2, 3, 4]              |      3      | 0.0015239715576171875  |
|       119       | 25 |       1533      |          [2, 3, 4, 5, 6]           |      5      |  0.004932880401611328  |
|       119       | 50 |       2772      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.03642392158508301   |
|       119       | 75 |       3691      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |  0.21076202392578125   |
|       120       | 12 |       806       |             [2, 3, 4]              |      3      |  0.001542806625366211  |
|       120       | 25 |       1574      |          [2, 3, 4, 5, 6]           |      5      |  0.004978179931640625  |
|       120       | 50 |       2834      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.03684186935424805   |
|       120       | 75 |       3798      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.23993396759033203   |
|       121       | 12 |       821       |            [2, 3, 4, 5]            |      4      | 0.0016202926635742188  |
|       121       | 25 |       1609      |          [2, 3, 4, 5, 6]           |      5      |  0.005239009857177734  |
|       121       | 50 |       2860      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.036273956298828125  |
|       121       | 75 |       3820      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.22507882118225098   |
|       122       | 12 |       834       |            [2, 3, 4, 5]            |      4      | 0.0015707015991210938  |
|       122       | 25 |       1628      |            [2, 3, 4, 5]            |      4      |  0.005341053009033203  |
|       122       | 50 |       2930      |         [3, 4, 5, 6, 7, 8]         |      6      |   0.0405120849609375   |
|       122       | 75 |       3894      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.2450721263885498   |
|       123       | 12 |       840       |            [2, 3, 4, 5]            |      4      |  0.001661062240600586  |
|       123       | 25 |       1643      |          [2, 3, 4, 5, 6]           |      5      |  0.005357265472412109  |
|       123       | 50 |       2951      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.03879809379577637   |
|       123       | 75 |       3909      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.22135186195373535   |
|       124       | 12 |       858       |            [2, 3, 4, 5]            |      4      | 0.0017020702362060547  |
|       124       | 25 |       1685      |          [2, 3, 4, 5, 6]           |      5      |  0.006025791168212891  |
|       124       | 50 |       3008      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.047106027603149414  |
|       124       | 75 |       4018      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.25496602058410645   |
|       125       | 12 |       882       |            [2, 3, 4, 5]            |      4      | 0.0017600059509277344  |
|       125       | 25 |       1717      |            [3, 4, 5, 6]            |      4      |  0.005672931671142578  |
|       125       | 50 |       3049      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.04422307014465332   |
|       125       | 75 |       4075      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.2791879177093506   |
|       126       | 12 |       893       |            [2, 3, 4, 5]            |      4      | 0.0017418861389160156  |
|       126       | 25 |       1742      |          [2, 3, 4, 5, 6]           |      5      |  0.005842924118041992  |
|       126       | 50 |       3109      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.043627023696899414  |
|       126       | 75 |       4165      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |  0.28575611114501953   |
|       127       | 12 |       915       |            [2, 3, 4, 5]            |      4      | 0.0019299983978271484  |
|       127       | 25 |       1777      |          [2, 3, 4, 5, 6]           |      5      | 0.0070171356201171875  |
|       127       | 50 |       3150      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.04724931716918945   |
|       127       | 75 |       4223      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |   0.3244338035583496   |
|       128       | 12 |       914       |            [2, 3, 4, 5]            |      4      | 0.0019130706787109375  |
|       128       | 25 |       1807      |          [2, 3, 4, 5, 6]           |      5      | 0.0065441131591796875  |
|       128       | 50 |       3237      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.050852060317993164  |
|       128       | 75 |       4292      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.32111692428588867   |
|       129       | 12 |       925       |            [2, 3, 4, 5]            |      4      | 0.0018482208251953125  |
|       129       | 25 |       1834      |          [2, 3, 4, 5, 6]           |      5      |  0.006593942642211914  |
|       129       | 50 |       3251      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.04856085777282715   |
|       129       | 75 |       4374      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.3428468704223633   |
|       130       | 12 |       935       |            [2, 3, 4, 5]            |      4      | 0.0019147396087646484  |
|       130       | 25 |       1850      |            [3, 4, 5, 6]            |      4      |  0.006583690643310547  |
|       130       | 50 |       3316      |          [4, 5, 6, 7, 8]           |      5      |  0.05157303810119629   |
|       130       | 75 |       4449      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.3736879825592041   |
|       131       | 12 |       955       |            [2, 3, 4, 5]            |      4      | 0.0020301342010498047  |
|       131       | 25 |       1865      |            [3, 4, 5, 6]            |      4      |  0.006712913513183594  |
|       131       | 50 |       3340      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.05108380317687988   |
|       131       | 75 |       4532      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.3838498592376709   |
|       132       | 12 |       969       |            [2, 3, 4, 5]            |      4      |  0.002031087875366211  |
|       132       | 25 |       1906      |          [2, 3, 4, 5, 6]           |      5      |  0.006778717041015625  |
|       132       | 50 |       3410      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.054472923278808594  |
|       132       | 75 |       4569      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.3807370662689209   |
|       133       | 12 |       991       |            [2, 3, 4, 5]            |      4      | 0.0021440982818603516  |
|       133       | 25 |       1956      |          [2, 3, 4, 5, 6]           |      5      |  0.007269859313964844  |
|       133       | 50 |       3472      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.055976152420043945  |
|       133       | 75 |       4625      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.38423609733581543   |
|       134       | 12 |       1005      |            [2, 3, 4, 5]            |      4      | 0.0021941661834716797  |
|       134       | 25 |       1979      |            [3, 4, 5, 6]            |      4      |  0.008142709732055664  |
|       134       | 50 |       3514      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.06200289726257324   |
|       134       | 75 |       4715      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |  0.42139410972595215   |
|       135       | 12 |       1009      |             [2, 3, 4]              |      3      | 0.0021479129791259766  |
|       135       | 25 |       1993      |          [2, 3, 4, 5, 6]           |      5      | 0.0077571868896484375  |
|       135       | 50 |       3575      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.06172680854797363   |
|       135       | 75 |       4780      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |  0.44527196884155273   |
|       136       | 12 |       1025      |            [2, 3, 4, 5]            |      4      | 0.0021300315856933594  |
|       136       | 25 |       2010      |          [2, 3, 4, 5, 6]           |      5      | 0.0072901248931884766  |
|       136       | 50 |       3595      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.05962800979614258   |
|       136       | 75 |       4906      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.5145819187164307   |
|       137       | 12 |       1045      |            [2, 3, 4, 5]            |      4      | 0.0021789073944091797  |
|       137       | 25 |       2055      |         [2, 3, 4, 5, 6, 7]         |      6      |  0.007951974868774414  |
|       137       | 50 |       3681      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |   0.0658879280090332   |
|       137       | 75 |       4933      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.4608886241912842   |
|       138       | 12 |       1056      |            [2, 3, 4, 5]            |      4      |  0.002255678176879883  |
|       138       | 25 |       2060      |          [2, 3, 4, 5, 6]           |      5      | 0.0077610015869140625  |
|       138       | 50 |       3715      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.06406283378601074   |
|       138       | 75 |       5038      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.5390329360961914   |
|       139       | 12 |       1082      |            [2, 3, 4, 5]            |      4      | 0.0022728443145751953  |
|       139       | 25 |       2102      |          [2, 3, 4, 5, 6]           |      5      | 0.0077970027923583984  |
|       139       | 50 |       3778      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.06892204284667969   |
|       139       | 75 |       5092      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.525958776473999    |
|       140       | 12 |       1106      |            [2, 3, 4, 5]            |      4      | 0.0023522377014160156  |
|       140       | 25 |       2145      |            [3, 4, 5, 6]            |      4      |  0.008026838302612305  |
|       140       | 50 |       3841      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.07150530815124512   |
|       140       | 75 |       5146      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.5439941883087158   |
|       141       | 12 |       1125      |            [2, 3, 4, 5]            |      4      | 0.0024483203887939453  |
|       141       | 25 |       2178      |          [2, 3, 4, 5, 6]           |      5      |  0.008601188659667969  |
|       141       | 50 |       3921      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.07496190071105957   |
|       141       | 75 |       5247      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.5766458511352539   |
|       142       | 12 |       1125      |            [2, 3, 4, 5]            |      4      |  0.002374887466430664  |
|       142       | 25 |       2216      |          [2, 3, 4, 5, 6]           |      5      |  0.008584022521972656  |
|       142       | 50 |       3932      |          [4, 5, 6, 7, 8]           |      5      |  0.07223701477050781   |
|       142       | 75 |       5253      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.5302619934082031   |
|       143       | 12 |       1151      |            [2, 3, 4, 5]            |      4      | 0.0024330615997314453  |
|       143       | 25 |       2230      |          [2, 3, 4, 5, 6]           |      5      |  0.009001970291137695  |
|       143       | 50 |       4034      |         [3, 4, 5, 6, 7, 8]         |      6      |   0.0794980525970459   |
|       143       | 75 |       5352      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.5684311389923096   |
|       144       | 12 |       1172      |            [2, 3, 4, 5]            |      4      | 0.0024840831756591797  |
|       144       | 25 |       2267      |          [2, 3, 4, 5, 6]           |      5      |  0.008892297744750977  |
|       144       | 50 |       4096      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.08277010917663574   |
|       144       | 75 |       5479      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.682945966720581    |
|       145       | 12 |       1169      |            [2, 3, 4, 5]            |      4      | 0.0024950504302978516  |
|       145       | 25 |       2296      |            [3, 4, 5, 6]            |      4      |  0.009050846099853516  |
|       145       | 50 |       4118      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.08321785926818848   |
|       145       | 75 |       5519      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.6573469638824463   |
|       146       | 12 |       1208      |            [2, 3, 4, 5]            |      4      |  0.002797842025756836  |
|       146       | 25 |       2360      |          [2, 3, 4, 5, 6]           |      5      |  0.009909868240356445  |
|       146       | 50 |       4233      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.09311795234680176   |
|       146       | 75 |       5674      |    [5, 6, 7, 8, 9, 10, 11, 12]     |      8      |   0.7581329345703125   |
|       147       | 12 |       1214      |            [2, 3, 4, 5]            |      4      | 0.0026040077209472656  |
|       147       | 25 |       2379      |            [3, 4, 5, 6]            |      4      |  0.009498119354248047  |
|       147       | 50 |       4225      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.08321785926818848   |
|       147       | 75 |       5679      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.6752660274505615   |
|       148       | 12 |       1235      |            [2, 3, 4, 5]            |      4      |  0.002613067626953125  |
|       148       | 25 |       2396      |          [2, 3, 4, 5, 6]           |      5      |  0.010325908660888672  |
|       148       | 50 |       4268      |         [3, 4, 5, 6, 7, 8]         |      6      |  0.08779120445251465   |
|       148       | 75 |       5741      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.7033357620239258   |
|       149       | 12 |       1250      |            [2, 3, 4, 5]            |      4      | 0.0027878284454345703  |
|       149       | 25 |       2423      |            [3, 4, 5, 6]            |      4      |  0.00974726676940918   |
|       149       | 50 |       4357      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.09164214134216309   |
|       149       | 75 |       5849      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.7611031532287598   |
|       150       | 12 |       1268      |            [2, 3, 4, 5]            |      4      | 0.0027358531951904297  |
|       150       | 25 |       2476      |            [3, 4, 5, 6]            |      4      |  0.010499000549316406  |
|       150       | 50 |       4433      |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.09817194938659668   |
|       150       | 75 |       5940      |     [4, 5, 6, 7, 8, 9, 10, 11]     |      8      |   0.8072199821472168   |
|       151       | 12 |       1284      |            [2, 3, 4, 5]            |      4      |  0.002795696258544922  |
|       151       | 25 |       2514      |          [3, 4, 5, 6, 7]           |      5      |  0.010710000991821289  |
|       151       | 50 |       4474      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.09609103202819824   |
|       151       | 75 |       5981      |   [4, 5, 6, 7, 8, 9, 10, 11, 12]   |      9      |   0.7875299453735352   |
