+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|        23       | 75 |       135       |            [3, 4, 5, 6]            |      4      | 0.0002579689025878906  |
|        24       | 12 |        33       |             [2, 3, 4]              |      3      | 5.221366882324219e-05  |
|        24       | 25 |        63       |             [2, 3, 4]              |      3      | 8.702278137207031e-05  |
|        24       | 50 |       112       |            [2, 3, 4, 5]            |      4      | 0.00018596649169921875 |
|        24       | 75 |       140       |            [3, 4, 5, 6]            |      4      | 0.0003299713134765625  |
|        25       | 12 |        35       |               [2, 3]               |      2      | 5.507469177246094e-05  |
|        25       | 25 |        71       |             [2, 3, 4]              |      3      | 0.00011205673217773438 |
|        25       | 50 |       123       |          [2, 3, 4, 5, 6]           |      5      | 0.00021195411682128906 |
|        25       | 75 |       168       |          [3, 4, 5, 6, 7]           |      5      | 0.0003330707550048828  |
|        26       | 12 |        37       |               [2, 3]               |      2      | 5.3882598876953125e-05 |
|        26       | 25 |        75       |             [2, 3, 4]              |      3      | 0.0001163482666015625  |
|        26       | 50 |       132       |             [3, 4, 5]              |      3      | 0.0002219676971435547  |
|        26       | 75 |       170       |            [3, 4, 5, 6]            |      4      | 0.00033402442932128906 |
|        27       | 12 |        41       |               [2, 3]               |      2      | 6.079673767089844e-05  |
|        27       | 25 |        80       |             [2, 3, 4]              |      3      | 0.00010991096496582031 |
|        27       | 50 |       136       |            [2, 3, 4, 5]            |      4      | 0.00021600723266601562 |
|        27       | 75 |       181       |            [3, 4, 5, 6]            |      4      | 0.0003750324249267578  |
|        28       | 12 |        40       |               [2, 3]               |      2      | 6.008148193359375e-05  |
|        28       | 25 |        82       |             [2, 3, 4]              |      3      | 0.00011515617370605469 |
|        28       | 50 |       144       |             [3, 4, 5]              |      3      | 0.0002377033233642578  |
|        28       | 75 |       195       |          [3, 4, 5, 6, 7]           |      5      | 0.0004317760467529297  |
|        29       | 12 |        47       |               [2, 3]               |      2      | 6.723403930664062e-05  |
|        29       | 25 |        89       |            [2, 3, 4, 5]            |      4      | 0.00012803077697753906 |
|        29       | 50 |       164       |             [3, 4, 5]              |      3      | 0.0003027915954589844  |
|        29       | 75 |       216       |          [3, 4, 5, 6, 7]           |      5      | 0.0004830360412597656  |
|        30       | 12 |        51       |               [2, 3]               |      2      | 7.510185241699219e-05  |
|        30       | 25 |        97       |             [2, 3, 4]              |      3      | 0.0001468658447265625  |
|        30       | 50 |       173       |          [2, 3, 4, 5, 6]           |      5      | 0.00034308433532714844 |
|        30       | 75 |       224       |            [3, 4, 5, 6]            |      4      | 0.0005631446838378906  |
|        31       | 12 |        52       |               [2, 3]               |      2      |  7.82012939453125e-05  |
|        31       | 25 |       107       |             [2, 3, 4]              |      3      | 0.00016927719116210938 |
|        31       | 50 |       193       |            [3, 4, 5, 6]            |      4      | 0.0003719329833984375  |
|        31       | 75 |       244       |            [3, 4, 5, 6]            |      4      | 0.0006883144378662109  |
|        32       | 12 |        53       |               [2, 3]               |      2      |  8.20159912109375e-05  |
|        32       | 25 |       108       |            [2, 3, 4, 5]            |      4      | 0.00015783309936523438 |
|        32       | 50 |       198       |          [2, 3, 4, 5, 6]           |      5      | 0.0003657341003417969  |
|        32       | 75 |       271       |          [3, 4, 5, 6, 7]           |      5      | 0.0008387565612792969  |
|        33       | 12 |        59       |             [2, 3, 4]              |      3      |  8.96453857421875e-05  |
|        33       | 25 |       121       |            [2, 3, 4, 5]            |      4      | 0.00018405914306640625 |
|        33       | 50 |       207       |            [3, 4, 5, 6]            |      4      | 0.0003898143768310547  |
|        33       | 75 |       274       |          [3, 4, 5, 6, 7]           |      5      | 0.0007622241973876953  |
|        34       | 12 |        64       |               [2, 3]               |      2      |   9.918212890625e-05   |
|        34       | 25 |       120       |            [2, 3, 4, 5]            |      4      | 0.00018596649169921875 |
|        34       | 50 |       227       |            [3, 4, 5, 6]            |      4      | 0.00047278404235839844 |
|        34       | 75 |       296       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0008111000061035156  |
|        35       | 12 |        71       |               [2, 3]               |      2      |   0.0001068115234375   |
|        35       | 25 |       134       |            [2, 3, 4, 5]            |      4      | 0.0002009868621826172  |
|        35       | 50 |       235       |          [2, 3, 4, 5, 6]           |      5      | 0.0005009174346923828  |
|        35       | 75 |       311       |          [3, 4, 5, 6, 7]           |      5      | 0.0009360313415527344  |
|        36       | 12 |        72       |             [2, 3, 4]              |      3      | 0.00011229515075683594 |
|        36       | 25 |       143       |            [2, 3, 4, 5]            |      4      | 0.00021696090698242188 |
|        36       | 50 |       253       |            [3, 4, 5, 6]            |      4      | 0.0005440711975097656  |
|        36       | 75 |       337       |          [3, 4, 5, 6, 7]           |      5      | 0.0011289119720458984  |
|        37       | 12 |        72       |               [2, 3]               |      2      | 0.00010704994201660156 |
|        37       | 25 |       150       |             [2, 3, 4]              |      3      |  0.000247955322265625  |
|        37       | 50 |       267       |            [3, 4, 5, 6]            |      4      | 0.0006148815155029297  |
|        37       | 75 |       351       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0012249946594238281  |
|        38       | 12 |        82       |             [2, 3, 4]              |      3      | 0.00011277198791503906 |
|        38       | 25 |       167       |             [2, 3, 4]              |      3      | 0.0002601146697998047  |
|        38       | 50 |       291       |            [3, 4, 5, 6]            |      4      | 0.0006630420684814453  |
|        38       | 75 |       382       |          [4, 5, 6, 7, 8]           |      5      | 0.0014369487762451172  |
|        39       | 12 |        84       |             [2, 3, 4]              |      3      | 0.00012111663818359375 |
|        39       | 25 |       169       |             [2, 3, 4]              |      3      | 0.00026798248291015625 |
|        39       | 50 |       289       |            [3, 4, 5, 6]            |      4      | 0.0006010532379150391  |
|        39       | 75 |       382       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0011892318725585938  |
|        40       | 12 |        90       |               [2, 3]               |      2      | 0.00012993812561035156 |
|        40       | 25 |       173       |             [2, 3, 4]              |      3      | 0.00026535987854003906 |
|        40       | 50 |       298       |            [3, 4, 5, 6]            |      4      | 0.0006961822509765625  |
|        40       | 75 |       409       |          [3, 4, 5, 6, 7]           |      5      | 0.0014841556549072266  |
|        41       | 12 |        92       |             [2, 3, 4]              |      3      | 0.00013184547424316406 |
|        41       | 25 |       186       |             [2, 3, 4]              |      3      | 0.00030112266540527344 |
|        41       | 50 |       328       |          [3, 4, 5, 6, 7]           |      5      |  0.000827789306640625  |
|        41       | 75 |       444       |          [4, 5, 6, 7, 8]           |      5      |  0.001878976821899414  |
|        42       | 12 |       100       |             [2, 3, 4]              |      3      | 0.0001418590545654297  |
|        42       | 25 |       195       |             [2, 3, 4]              |      3      | 0.00030612945556640625 |
|        42       | 50 |       337       |          [2, 3, 4, 5, 6]           |      5      | 0.0007798671722412109  |
|        42       | 75 |       465       |         [3, 4, 5, 6, 7, 8]         |      6      | 0.0019948482513427734  |
|        43       | 12 |       104       |             [2, 3, 4]              |      3      | 0.00015091896057128906 |
|        43       | 25 |       208       |             [2, 3, 4]              |      3      | 0.0003299713134765625  |
|        43       | 50 |       354       |            [3, 4, 5, 6]            |      4      | 0.0008568763732910156  |
|        43       | 75 |       478       |          [3, 4, 5, 6, 7]           |      5      |  0.002277851104736328  |
|        44       | 12 |       106       |             [2, 3, 4]              |      3      | 0.00015497207641601562 |
|        44       | 25 |       210       |             [2, 3, 4]              |      3      | 0.0003418922424316406  |
|        44       | 50 |       370       |            [3, 4, 5, 6]            |      4      | 0.0009658336639404297  |
|        44       | 75 |       499       |          [4, 5, 6, 7, 8]           |      5      | 0.0023970603942871094  |
